Name,Hours-worked,Hourly-rate
Jordan Santiago,22,44.71
Brittney Mccoy,38,73.55
Pamela Hale,28,33.33
Kenneth Jefferson,29,53.77
Lisa Boone,57,17.56
Shannon Galloway,26,58.2
Vanessa Moore,48,68.4
Eric Jackson,33,70.15
Ricky Hill,38,45.13
Amber Phillips,57,21.57
Jennifer Harris,36,27.35
Robert Jennings,50,67.77
Samantha Dawson,33,69.23
Andrew Richardson,54,73.55
Jillian Lambert,27,44.63
Jennifer Williams,34,19.04
Brianna Church,56,54.61
Travis Lawrence,23,54.01
Adam Russell,28,66.37
Kayla Taylor,41,61.33
Leslie Holloway,49,10.76
Zachary Rollins,29,25.71
Ashley Gilbert,49,44.59
Larry Yoder,59,24.83
Steven Anderson,22,35.95
Tammy Tran,45,65.73
Natalie Ryan,58,52.5
Michelle Henry,41,20.71
Hayley Reese,26,56.69
Keith Padilla,59,28.31
Elizabeth Mccormick,36,34.71
Courtney Long,29,49.94
Paul Franco,57,11.42
Deanna Thompson,57,56.49
Mrs. Kathryn Miller,41,20.97
Michelle Lambert,47,12.43
Alyssa Doyle,26,16.15
Mike Brooks,42,23.95
William Allen,36,25.87
Jeremy Zhang,37,33.31
Keith Salinas,40,19.17
Jose May,50,29.42
Johnny Haley,37,20.97
Marissa Jimenez,57,12.39
Daniel Weber,51,36.28
Timothy Taylor,48,12.17
Anthony Cruz,55,69.95
Dawn Burke,58,74.78
Nicholas Henry,38,55.4
Katherine Schmidt,53,32.29
Amy Flores,43,12.97
Robert Carlson,44,66.4
Tyler Hill,43,50.85
Beth Gonzalez,30,16.86
Dustin Baker Jr.,42,37.11
Ebony Michael,25,66.95
Mia Long,20,20.57
Andrew Norris,32,43.94
Robert Grant,39,22.92
Amy Martinez,37,47.26
Linda Hendricks,53,60.77
Donna Reed,54,62.62
Ryan Mays,23,73.5
Christopher Lopez,35,57.72
Daniel Gregory,59,10.06
Jerry Boyd,26,42.72
Ashley Chavez,48,60.3
Melinda Ellis,27,49.58
Edward Smith,53,14.39
Benjamin Wood,28,56.05
Alejandro Contreras,46,29.41
John Brennan,38,28.73
Marc Cherry,36,72.51
Daniel Rogers,24,30.49
Christy James,53,74.41
Alison Martinez,52,53.94
Nicole Mosley,48,47.02
Christopher Reed,23,25.31
Antonio Vasquez,46,39.46
Stephanie Cannon,22,38.97
Emily Campbell,54,68.77
Jim Nielsen,60,25.09
Sheila Williams,22,44.76
James Greene,56,27.95
Tanya Graham,59,59.84
Matthew Evans,55,47.29
Paul Shelton,24,41.56
Mary Smith,37,24.69
John Huynh,26,15.11
Paula Turner,25,39.89
Kayla Walker,38,15.08
Andrea Larson,59,20.36
Theresa Davis,54,43.12
Jane Kane,46,30.57
Julia Rodriguez,51,18.23
Samantha Fischer,60,41.52
Robert Green,43,56.1
Douglas Underwood,53,58.12
Sheila Douglas,26,27.66
Sharon Calderon,43,59.69
Erin Bryant,39,19.09
Kevin Wilkins,56,45.0
Melanie Lopez,36,59.46
Brittany Becker,49,64.87
Lisa Phelps,30,59.35
Christopher Hicks,38,50.88
Diana Barker,46,54.6
Rebecca Maldonado,32,59.4
Barbara Armstrong,43,53.43
Joshua Bush,39,61.74
Mark Roberts,52,46.86
Ryan Thomas,45,57.47
Emily Smith,30,68.47
Charles May,49,44.05
Laura Rocha,27,74.35
Sheryl Robinson,44,64.45
Marcus Sanders,45,18.29
Wanda Cummings,21,20.58
Daniel Butler,36,53.59
Jacob Hall,40,41.82
Christopher Hudson,32,18.51
Megan Morris,22,13.15
Daniel Torres,34,22.79
Kevin Lewis,24,72.53
Marc Lawrence,29,70.7
Kathryn Freeman,58,73.47
Ricardo Moody,40,30.2
Lori Johnson,39,48.26
Gregory Barnes,38,28.49
Daniel Olson,40,62.66
Edward Boone,53,52.11
Christina Crawford,28,69.71
Sarah Brown,35,21.27
Andrea Gonzalez,44,74.7
Kevin Sherman,56,45.62
Keith Hicks,51,53.48
Denise Rogers,53,36.08
Catherine Jacobs,58,63.8
Charles Dixon,58,11.68
Justin Mitchell,48,53.37
Stephanie Perez,33,42.3
Mr. Donald Martin,50,49.51
Stephanie Wilcox,52,12.14
Andre Marshall,50,43.15
Justin Allen,41,70.7
Norma Chambers,43,40.77
Dr. Jesse Foster,23,10.74
Nathan Brown,29,63.42
Paul Stone,50,27.09
Michele Marsh,53,45.82
Eduardo Short,48,49.93
Michael Davis,47,29.65
Steven Collins,51,18.14
Madison Rodriguez,36,37.35
Jonathan Cameron,57,56.76
Daniel Heath,28,17.59
Jessica Boone,54,25.68
Virginia Smith,36,49.49
Jessica Burgess,40,41.94
Kristen Hill,47,16.01
Kenneth Gibbs MD,50,53.8
Dawn Morrow,29,48.81
Mark Whitney,41,57.4
Heather Martinez,38,27.31
Rebecca Johnson,53,35.54
Melissa Adams,57,68.2
Kevin Johnson,42,66.77
Gina Keller,25,70.88
Cheryl Shaw,56,41.36
Grace Weiss,58,72.57
Gary Patterson,20,38.94
Andrea Mullins,48,38.83
Rachel Wright,33,52.54
James Ortiz,50,39.96
Lindsey Peterson,40,17.51
Jessica Allen,31,40.4
Deanna Johnson,56,43.32
Meghan Deleon,24,10.95
Lisa Richardson,51,72.57
Steven Herrera,48,69.4
Debra Johnson,49,57.01
Kenneth Harris,29,42.74
Zachary Livingston,36,21.95
Rodney Chang,30,49.8
Jordan Frazier,54,56.21
Amy White,26,67.27
Victoria Davis,44,62.41
Patrick Gonzales,27,70.17
James Allen,47,35.72
Adrian Pena,57,29.48
Ryan Brock,25,44.16
Thomas Moreno,48,38.54
Mitchell Leon,54,50.11
Benjamin Morgan,52,32.5
Cynthia Frederick,33,57.76
Russell Mccann,36,19.3
Sara Webb,22,36.41
Kimberly Mcdowell,47,17.48
John Murphy,39,27.3
Phillip Taylor,31,25.21
Savannah Le,58,65.8
Nicholas Donovan,22,23.78
Monica Smith,40,15.83
Cathy Kent,44,52.79
Zachary Miller,52,28.21
Eugene Mueller,37,42.27
Beth Johnson,22,42.42
Amy Huang,40,71.06
Kevin Green,21,42.85
Daniel Watson,23,72.51
Michael Waller,33,11.97
Darren Brown,27,56.66
James Meyer,60,61.1
Jennifer Fischer,20,57.48
Paige Lamb,30,50.29
Brandon Anderson,32,24.67
Mrs. Melissa Sparks,20,40.82
Rodney Rodriguez,48,33.74
Allen Patton,26,70.86
Keith Olson,22,26.5
Patricia Ochoa,48,61.74
Greg Kim,60,66.54
Heidi Gould,53,74.89
Erin Mitchell,25,68.15
Keith Campbell,22,26.26
Mario Carlson,24,33.24
Terry Gray,41,43.17
Chase Wise,21,43.76
Emily Hoffman,38,70.24
Kimberly Smith,52,71.66
Michael Harper,22,12.86
Teresa Jimenez,30,68.21
Kimberly Rowe,55,39.28
Leslie Green,39,28.77
Matthew Davis,52,30.48
Nathan White,47,55.92
Henry Young,34,61.51
James Fox,41,16.12
Carla Stein,31,53.75
Shawn Brown,51,73.97
Joel Weaver,56,40.98
Edward Garcia,20,16.91
Alan Gardner,21,72.88
Daniel Rogers,35,16.24
Christopher Owens,57,40.61
Alexa Miller,47,20.8
Michael Phillips,60,37.93
Megan Ballard PhD,44,56.2
Anthony Cuevas,21,69.85
Megan Barnes,27,64.55
Doris Sullivan,28,19.45
Donna Harper,58,52.43
Chad Pearson,20,32.96
Angela Davis,27,28.54
Jeffrey Hess,30,23.68
Danielle Harris,20,55.9
Brett Robinson,32,41.8
Alyssa Miller,52,22.42
Kayla Hoffman,37,60.75
Kaitlyn Snyder,60,71.76
Julie Wilson,20,72.03
Jacqueline Foley,33,64.15
Cheryl Cox,58,45.34
Susan Gonzalez,49,63.06
Pamela Cardenas,24,57.55
Eric Gordon,50,48.06
Jennifer Anderson,28,63.81
Gabrielle Mccormick,35,63.61
Devin Lam,42,19.17
Jose Pierce,40,67.54
Kimberly Jones,35,40.02
Manuel Pugh,22,52.09
Elizabeth Li,41,29.62
Douglas Anderson,46,16.22
Seth Hernandez,46,25.54
Troy Evans,32,10.09
Jamie Huber,37,70.54
Dustin Cox,37,13.84
Jessica Miller,28,53.76
Stephanie Webster,24,39.95
Derrick Lucas,30,64.98
Dalton Wright,42,50.29
Sheryl Willis,40,59.84
Sara Ellis,43,27.14
Brian Jones,33,32.39
Alan Boyer,46,38.61
Mr. Lee Stevenson,30,45.21
Brian Bell,29,34.02
Lauren Gonzales,54,56.15
Jason Ali,52,12.83
Daniel Mendoza,45,64.75
Amy Colon,24,43.3
William Myers,54,28.16
Jessica Johnson,56,64.71
Mario Clark,47,25.5
Andrew Barnett,47,68.27
Eric Price,38,56.9
Laura Kent,32,57.76
Shannon Evans,55,45.04
Stephanie Johnson,29,31.34
Shawn Bailey,31,15.04
Sarah Payne,29,12.6
William Walker,26,44.55
Ryan Harrison,59,49.04
Kristina Ferguson,40,61.95
Donna Morrison,52,41.13
Nancy Foster,30,42.88
Wendy Rodriguez,50,39.61
Cheryl Johnson,33,10.66
Erin Graves,52,46.48
Ann Taylor,45,60.93
Monique Pacheco,33,42.37
Veronica Brown,35,49.27
Patrick Hull,47,26.01
Michael Trujillo,56,50.84
Marie Young,48,66.17
Amy Wilson,59,41.33
Robert Smith,25,40.9
Thomas Brown,21,70.45
Eric Pearson,53,72.19
Erica Gutierrez,27,13.03
Heather Matthews MD,42,12.13
Laura Mcbride,43,23.07
Ronald Evans,56,54.44
Grant Serrano,42,62.39
Stephanie Peters,34,44.39
Janet Davis,43,51.95
Todd Simmons,51,27.28
Wendy Fisher,60,10.31
Michael Cooper,53,32.79
Adam Morris,32,63.51
Joseph Freeman,57,50.53
Frederick Ferguson,47,18.41
Carol Hill DDS,37,18.59
Nicole Livingston,55,35.29
Jasmine Rodriguez,39,68.78
Connor Rogers,51,19.52
Melissa Arellano,40,64.17
Karen Fox,57,24.25
Mark Greene,56,29.59
Elizabeth Nelson,29,41.43
Matthew Bishop,33,74.54
Michael Clark,56,24.46
Jason Bradley,48,13.72
Bradley Kelly,45,47.18
John Cook,40,57.05
Rachel Lewis,53,54.01
Patrick Goodman,29,74.08
Wayne Vincent,35,72.02
Alexis Lane,24,39.62
Jermaine Williams DDS,43,43.4
Madison Murphy,27,40.68
Michael Palmer,43,71.58
James Austin,60,10.54
Amy Bailey,41,63.31
Troy Fletcher,20,15.41
Robert Gonzalez,20,33.31
Terri Morse,45,21.5
Scott Rodriguez,20,72.68
Katherine Miller,44,57.71
Peter Carroll,53,16.88
Larry Allen,45,71.61
Melissa Dean,40,13.99
Timothy Palmer,34,19.72
Lisa Sanchez,38,28.39
Nicholas Perez,49,15.08
Sandra Owen,47,39.86
Andrew Lopez,30,51.13
Timothy Krause,31,43.8
Allen Bonilla,53,52.97
Angela Gibson,27,51.05
Jacqueline Johnson,35,51.72
Jason Mcbride,22,14.23
Gerald Chapman,36,60.83
Renee Watson,56,47.87
Brittney Terry,39,39.69
Kevin Rivera,20,24.48
Samuel Stevens,29,58.72
Maria Chen,60,68.97
Jennifer Shannon,48,21.69
Seth Miller,54,34.08
Robert Herrera,28,42.54
Stephanie Newman,52,49.47
Timothy Nunez,46,74.28
Edward Griffin,26,74.61
Jeffrey Smith,23,60.79
Jordan Russell,52,44.42
Jeffery Martinez,40,41.61
Shawn Richards,27,30.51
Michael Harris,26,21.37
Craig Potter,56,20.23
Jeff Mitchell,34,33.05
Lawrence Peterson,40,49.73
Norma Davis,28,17.08
Roy Espinoza,20,67.83
Richard Montoya,37,45.91
Sydney Scott,28,50.55
Stephanie Boyer,25,10.44
Claire Adams,58,50.05
Megan Hendricks,34,54.82
Chloe Acosta,49,28.04
Alyssa Pennington,28,58.13
Miguel Robbins,42,18.66
Dominique Mcclain,31,51.69
Anthony Acevedo,53,21.19
Trevor West,53,50.79
Mark Collins,59,54.29
Tony White,31,22.53
Nicole Hansen,52,42.23
Evelyn Lucas,60,19.58
Crystal Hill,30,48.27
Christina Bonilla,33,56.1
Thomas Johnson,51,15.07
Timothy Sanchez,23,71.57
Juan Jones,38,40.21
Danielle Ortiz,57,62.55
James King,20,30.42
David Harris,26,32.61
Christine Manning,51,60.62
Jeffery Myers,49,38.76
Michael Drake,35,30.39
Paul Edwards,40,31.14
Brian Cervantes,57,19.95
Jessica Kirk,21,25.16
David Vasquez,47,21.89
Victoria Chapman,26,65.29
Lauren Gonzalez,59,56.47
Natalie Ross,43,38.93
David Flores,52,56.13
Lorraine Murphy,27,65.55
Amy Sampson,60,23.1
Tracy Lane,36,19.97
Samantha Stuart,34,14.7
Connie Norris,43,23.48
Steven Marshall,39,47.2
Kari Scott,29,59.14
Melanie Mcdaniel,41,32.46
Briana Bush,27,11.34
Alejandro Collins,50,24.58
Scott Meadows,46,13.04
Sandra Smith,51,52.63
Matthew Butler,46,67.96
Linda Lee,39,11.67
Katelyn Montgomery,21,59.61
Kristin Collins PhD,32,29.84
Audrey Smith,25,71.75
Mr. Scott Graham DDS,21,73.0
Brian Spears,46,19.37
Cynthia Esparza,48,18.09
John Henderson,43,31.39
John Smith,42,67.35
Scott Garcia,55,39.97
Kimberly Garcia,33,18.19
Mark Acosta,57,41.46
Courtney Burnett,59,62.98
Corey Martinez,42,36.03
Taylor Copeland,60,71.13
Kevin Hammond,32,66.31
Ricky Key,42,35.71
Vanessa Baker,25,37.64
Ashley Young,20,42.58
Benjamin Bryan,45,16.83
Tracey Franklin,43,26.37
Jennifer Miller,21,69.04
Eddie Castro,24,68.67
Jeremy Graham,23,25.7
Jamie Martin,46,41.24
Marcus Joseph,28,59.58
Melissa Long,48,68.01
Lisa Kirk,43,69.51
Edward Underwood,44,29.06
Kevin Lewis,46,31.89
Michelle Davis,54,13.1
Katherine Perez,59,55.11
Rhonda Roberts,47,40.23
Carrie Pope,46,56.16
William Mcpherson,60,72.13
Sara Jacobson,29,10.86
Joshua Schneider,54,53.5
Timothy Chan,45,45.03
David Hernandez,38,71.84
Robin Graham,20,67.84
Paul Rice,46,73.04
Danielle Wilson,43,17.98
Elizabeth Nichols,48,59.93
Amy Lucero,32,50.39
Kim Marquez,56,10.38
David Choi,43,21.52
Gregory Lopez III,52,59.36
Jason Morrison,34,58.1
Daniel Buchanan,22,12.37
Lori Zimmerman,20,12.93
Amy Obrien,53,31.43
Manuel Stone,56,47.74
Richard Cherry,46,65.11
Miss Sharon White,58,53.97
Timothy Torres,31,19.57
Elizabeth Griffith,21,63.39
Anthony Lee,21,51.66
Debbie Cowan,33,70.76
Sierra Williams,31,35.68
Amy Campbell,53,33.29
Devon Moon,39,44.62
Aaron Alvarez,32,39.96
Daniel Cummings,26,27.19
Nicole Gates,39,43.94
Shannon Smith,25,35.33
Kayla Myers,21,47.1
Linda Baker,38,45.08
Gary Sutton,43,64.48
Timothy Mcfarland,54,34.42
Raymond Harris,56,65.21
Dr. Debra Mccall,34,32.79
Randy Schwartz,31,22.13
Ronald Kim III,25,31.4
Tammy Davis,29,29.85
Kimberly Cantrell,38,19.08
Cathy Lane,43,29.99
John Thomas,43,31.7
Scott Medina,48,16.74
Jose Hardy,40,46.18
Jaime Phillips,31,53.67
John Woodard,44,60.59
Tiffany Obrien,51,42.13
Renee Salas,41,64.57
Frances Frazier,37,24.13
Rebecca Mckay,22,25.88
Michael Benitez,36,58.52
Christopher Lyons,29,43.43
Julie Mcbride,44,24.89
Robert Gonzalez,20,49.4
Roy Rivas,21,41.43
Caroline Wang,57,10.94
James Clements,42,74.51
Diana Gray,49,72.12
Joshua Wells,49,52.99
Barbara Wilson,32,47.63
Gregory Cordova,49,52.36
Joshua Powers,53,15.99
James Sanchez,41,40.08
Michelle Butler,28,25.45
Bridget Bell,56,70.87
Veronica Garcia,23,22.23
Jennifer Reynolds,43,29.16
Dr. Aaron Scott,22,46.85
Gregory Johnson,36,30.23
Christina Thompson,41,31.47
David Villarreal,51,72.53
Shane Schneider,55,44.61
Claire Ellis,27,11.06
David Hines,39,24.36
Amy Spencer,60,38.67
Vanessa Rhodes,46,52.68
Daniel Cook,39,44.14
David Mcgee,54,31.95
Kelly Burgess,40,34.13
Arthur Roman,22,62.6
Rebecca Holmes,50,37.7
Teresa Brown,48,72.36
Christian Lynn,32,72.86
Allen Barrera,39,12.58
Isaiah Fischer,42,74.5
Michael Oconnor,58,33.11
Michael Dean,40,56.9
David Shepard,20,48.42
Michelle Joseph,31,17.88
Deborah Roberts,47,64.12
Andrew Weber,32,36.48
James Turner,23,38.29
Brian Scott,28,20.96
Mark Jones,39,42.35
James Scott,22,57.98
Samuel Beard,38,31.4
Nichole Clark,47,25.46
Heather Warner,21,19.07
Raymond Davis,43,61.03
Joseph Smith,34,37.51
Anthony Grant,41,18.29
John Mitchell,27,17.26
Mrs. Tara Gaines,41,26.3
Natalie Dillon,54,13.52
Michelle Medina,22,39.61
Christopher Morgan,30,45.03
Jessica James,59,72.95
Danny Horton,47,66.31
Laura Bruce,48,14.35
Brittany Morton,49,37.84
Victoria Robles,25,57.09
Albert Mcgee,52,54.42
Daniel Yu,46,69.45
John Johnson,52,70.65
Marcus Ballard,59,47.5
Christina Pena,40,25.95
Stacy Aguilar,24,30.46
Paul Wilson,26,73.6
Justin Wright,28,52.14
Kevin Bentley,50,61.05
Patrick Browning,48,43.84
James Howe,37,73.05
Eric Wilson,42,24.26
Phillip Heath,49,13.99
Diana Hill,57,52.11
Heather White,54,68.93
Andrea Berg,30,59.61
Linda Cox,44,21.99
Ashley Perry,30,34.82
Melissa Rodriguez,53,42.31
Anita Henderson,37,42.59
Yolanda Romero,24,47.08
Deborah Orozco,49,63.96
Jonathan Green,58,32.5
Ariana Carrillo,48,71.34
Angela Chaney,38,41.31
Dennis Yates,51,22.56
Kim Fuentes,29,38.86
Randy Lane,37,17.3
Austin Gonzalez,55,67.79
William Moody,21,21.76
Kevin Ramirez,37,39.11
Ryan Taylor,36,50.65
Brandon Campbell DVM,25,72.7
John Gregory,52,36.37
Kristen Davis,37,65.28
Barbara Campbell,57,68.9
Nicole Long,34,70.82
Jared Johnson,57,63.55
Mark Thomas,44,38.22
Benjamin Townsend,43,56.88
Donald Ashley,54,54.85
Brenda Murray,53,12.87
Christopher Murray,53,42.41
Ms. Anna Johnston,36,65.85
Tony Myers,39,47.32
Jacob Burns,54,60.42
Scott Miller,50,64.01
Brittany Jones,28,24.8
Dennis Ballard,29,41.67
Karen Mendez,21,69.96
Joyce Mcclain,22,27.61
Stephanie Reynolds,60,35.16
April Irwin,53,32.08
Jacob Burton,55,61.6
Mrs. Jessica Taylor,51,73.16
April Beard,27,11.96
Jessica Monroe,31,62.42
Debra King,50,41.72
Stephanie Cruz,21,56.55
Taylor Garza,51,16.13
Betty Hess,26,20.47
Leslie Perez,21,60.28
Mallory Kelly,21,13.59
Blake Gibson,52,73.27
Carlos Quinn,37,74.06
Michelle Smith,59,34.64
Benjamin Martin,35,45.56
Travis Miles,26,58.35
Cynthia Jacobs,47,12.25
Tanner Martinez,23,51.04
Tamara Robinson,52,52.42
Kelly Guzman,31,59.63
Isaac Guerrero,34,37.73
Hannah Bass,23,49.69
Calvin Simmons,42,74.45
Mandy Stuart,37,33.8
Jason Thompson,23,44.82
Randall Mckay,48,51.77
Rhonda Nelson,36,57.6
Amber Brown,32,68.69
Lindsey Payne,47,64.06
Richard Fowler,49,35.68
Maria Johnson,40,37.84
Daniel Wells,50,47.87
Jennifer Wood,40,14.25
Robert Hughes,52,46.12
Cole Smith,56,62.19
Patricia Hicks,51,62.19
Laura Patel,22,35.6
David Vincent,39,60.42
Lindsay David,39,10.85
Steven Jones,44,36.76
Ronald Evans,40,57.42
Thomas Allen,51,17.12
Anthony Ramirez,60,19.32
Debra Simpson,30,35.76
Jason Burke,45,13.41
Sandra Green,34,12.74
Kimberly Thompson,58,41.43
Dana Murray,51,56.27
Molly Mccann,40,54.62
Brian Chang,20,17.65
Paula Powers,26,44.05
Mrs. Meghan King,50,42.15
Tara Parker,48,43.35
George Daniels,57,74.71
Ebony Flores,31,48.31
Mrs. Michelle Freeman,38,23.31
Kaitlyn Turner,25,35.1
Amy Lee,47,11.67
Alison Wilson,25,32.3
Morgan Armstrong,40,29.33
Karen Schmidt,24,69.91
Kayla Herrera,38,36.29
David Morris,39,53.78
Adam Hines,22,40.67
Jason Jensen,31,26.2
Spencer Jones,55,53.19
Bryan Little,22,23.0
Stephen Clay,23,59.42
Aaron Torres,21,66.39
Christina Frye,24,10.66
Ashley Turner,32,44.29
Tammie Collins,38,27.98
Michael Gallegos,42,60.3
Laura Snow,22,28.97
Claire Jones,49,26.47
George Noble MD,52,11.09
Timothy Daniels,50,23.79
Jennifer Allen,49,30.97
Benjamin Smith,28,57.49
Mike Padilla,23,17.96
John Jennings,41,62.79
Mary Vazquez,41,27.83
Barbara Yang,36,15.2
Shannon Hernandez,48,61.29
Joshua Ramirez,60,33.32
Jorge Willis,56,19.74
Cindy Hamilton,40,46.79
Lindsay Bennett,48,37.14
Dr. John Li,26,74.65
Rodney Baldwin,42,46.97
Michael Mitchell,27,23.6
Mrs. Breanna Winters DDS,20,53.21
Sean Mclaughlin,22,42.3
Gregory King,33,41.35
Angela Hester,39,27.19
Carrie Gutierrez,59,52.75
Bridget Olson,38,49.91
Regina Bean,37,10.84
James Sexton,48,58.49
Toni Anderson,49,19.61
Rachel Zimmerman,26,41.33
Angela Moreno,56,61.99
Mark King,58,71.12
Michael Cowan,60,16.89
Andrew Lee,26,27.67
Jeffrey Silva,52,36.6
Jessica Stuart,42,66.04
Nicole Jones,29,69.97
Amanda Young,45,18.8
Michelle Buckley,28,17.37
Mrs. Andrea Buckley MD,38,10.84
Kathleen Macias,44,10.16
Sharon Flores,36,49.56
Kenneth Harris,59,61.31
Ricky Stanley,36,59.54
Joseph Bray,27,24.86
Christopher Barron,56,72.78
Laura Chavez,42,23.39
Christopher Taylor,42,24.73
Isaac Molina,43,13.15
Karen Davis,51,47.56
Lisa Becker,43,33.14
Jeffrey Jones,57,56.73
Oscar Young,36,55.88
Anthony Miller,39,61.84
Jacqueline Oneill,31,46.63
Christopher Bailey,40,39.36
Erik Wood,58,38.85
Ashley Ward,37,49.59
John White,56,27.81
Dr. Rachel Stone,55,18.34
Kara Ballard,53,60.64
Alexander Henry,39,20.07
Jennifer Jones,22,61.19
James Ball,33,15.04
Amber Nelson,48,53.41
Maria Roberts,30,56.16
William Flores,49,17.46
Evelyn Miller,26,12.9
Stephen Morris,28,64.02
Jodi Ryan,57,61.55
Heather Sharp,20,73.66
Chelsea Benson,23,32.74
Thomas Mitchell,54,18.61
Meredith Ball,30,43.95
Mrs. Donna Martin,24,46.95
Alexis Roth,32,53.42
Mr. Joseph Anderson,24,46.44
Kelly Morrison,54,67.96
Joshua Smith,50,32.26
James Rivera,37,43.12
Richard Graham,47,47.09
Dylan Jimenez,44,49.59
Caitlin Richardson,59,49.4
Holly Ruiz,29,58.6
William Harris,22,19.5
Connie Pham,20,70.3
Kayla Hudson,51,52.09
Douglas Keith,59,66.85
Emily Reeves,46,17.07
Jesse Stewart,40,60.15
Kevin Dalton,53,53.58
Nicholas Fisher,57,40.17
Kristin Powell,58,12.28
Gloria Harris,56,18.09
Leslie Oliver,44,57.67
Amy Olson,29,34.55
Jordan Mitchell,38,49.7
Jennifer Kennedy,43,31.1
Whitney Dickerson,36,24.91
Lee Thompson,47,63.88
Ashley Klein,25,58.34
Michael Clark,32,13.63
Dr. Angela Huber,36,62.99
Randy Richardson III,55,69.49
Jade Smith,39,73.36
Roger Ramirez,41,30.34
Carol Arnold,21,49.56
Melissa Williams,28,44.36
Lisa Wells,48,28.89
George Strickland,29,59.62
Ronald Andrews,35,34.89
Kevin Acosta,20,15.34
Kathryn Johnson,46,33.38
Russell Perkins,35,32.26
Samuel Edwards,26,26.21
Deborah Cooper,49,39.07
William Lin,56,15.7
Juan Barrera,29,37.52
Timothy Johnson,40,60.84
Leslie West,40,52.68
Ryan Ortega,41,46.95
Jessica Willis,52,29.43
Christopher Douglas,40,39.65
Stephen Everett,56,58.95
Nicole Ortega,21,65.2
Mr. Joshua Miller,20,47.74
Daisy Henderson,54,41.55
Carmen Frederick,29,38.63
Jennifer Wilson,40,50.64
Melissa Stevenson,42,53.48
Sandra Oconnor,60,55.65
Angela Frazier,26,22.48
Anthony Gonzalez,30,44.21
Rodney Alvarez,21,29.07
Joel Long,60,37.67
Brenda Vargas,49,38.72
Barbara Williams,60,13.17
Samantha Miller,46,65.94
Katherine Davenport,40,40.52
Jennifer Daniels,30,50.58
Susan Wallace,58,37.52
Raven Willis,35,57.2
Emily Shelton,28,27.19
Tyler Hamilton,28,71.2
Kimberly Campbell,32,53.32
Cynthia Young,57,51.77
Patrick Wang,40,23.21
Russell Vasquez,35,50.07
Karen Oconnor,39,36.68
Anthony Reyes,60,24.29
Andrew Johnson,55,23.97
Corey Pruitt,23,23.6
Louis Vasquez,43,58.37
Diane Wyatt,53,16.83
Matthew Burch,23,53.15
Terri Wilson,59,34.6
Sarah Hines,56,20.77
Nicole Schroeder,56,73.89
Laura Miller,56,40.67
Cassandra Holt,47,36.93
Mark Robertson,47,63.68
Robert Ford,45,73.15
Matthew Hodges,31,25.34
Justin Brandt,47,60.41
Megan Hoffman,38,64.0
Lauren Brandt,21,48.55
Anna Terry,52,39.23
Brittany Williams,54,27.58
Lisa Beard,27,63.61
Mike Rodriguez,60,67.85
Steven Bates,26,70.6
Willie Rodriguez,45,65.84
Samuel Fleming,49,71.8
Michele Hale,43,72.5
Jessica Adams,24,10.79
Michael Anderson,20,54.5
Abigail Smith,48,30.65
Christopher Smith,33,13.72
Michael Klein,50,38.46
Christine Sanders,56,58.81
Anthony Avery,25,68.45
Tracy Miles,51,68.64
Samuel Carroll,32,16.8
Adam Petersen,21,43.92
Robert Jones,24,36.47
Julie Powell MD,32,34.25
Sean Green,32,42.54
Patrick Copeland,26,73.72
Anne Matthews,50,64.01
Megan Fernandez,26,61.46
Richard Schaefer,55,20.55
Cindy Shaw,22,66.01
Eric Huffman,44,66.06
Gregory Ellis,42,56.66
Margaret Perez,55,12.92
Courtney Palmer,57,48.54
Robert Burke,30,12.58
Jamie Simon,43,20.18
Olivia Rodriguez,60,32.75
Peter Chapman,25,28.27
Krystal Lewis,37,23.92
Katie Green,38,42.08
Timothy Herrera,41,27.83
Emily Mitchell,24,37.63
Elizabeth Johnston,55,29.09
Donald English,43,13.35
Brian Potter,48,35.15
Margaret Cardenas,27,65.37
Connie Robertson,24,38.6
David Campbell,48,18.57
Matthew Walker,39,16.69
Katherine Frazier,35,42.58
Dustin Krueger,49,42.2
Matthew Lam,57,48.62
Margaret Richard,32,69.35
Tiffany Hamilton,45,36.51
Nicole Mullen,28,13.3
Michael Martinez,29,48.71
Christopher Gonzales,58,13.05
Glenda Reynolds,50,36.54
Kelli Baldwin,25,44.3
Caitlin Rocha,51,27.85
William Lynn,44,59.11
James Farmer,29,53.89
Emily Allen,57,45.17
Tiffany Thomas,45,16.31
Mario Taylor,26,12.8
Kayla Summers,27,56.93
Darren Perkins,46,14.19
Howard Schmidt,31,44.86
Haley Woods,52,42.71
Kristopher Valdez,25,62.83
Julia Williams,22,13.82
Patricia Stevens MD,45,45.73
Austin Garcia,51,24.93
Brandy Reed MD,31,10.29
Victoria Brown,50,28.58
Derek Burns,40,66.0
David Clark,49,15.78
Christopher Jordan,31,62.35
Angela Jarvis,38,38.22
Michael Wagner,57,58.94
Jesus Hall,23,39.61
Timothy Johnson,59,66.24
Aaron Brandt,26,17.78
Jason Turner,54,12.6
Robert Richardson,59,22.62
Olivia Hall,34,30.77
Casey Cardenas Jr.,29,67.18
Heather Wright,21,66.05
Melanie Harris,51,16.48
Brianna Coleman,38,63.32
Jamie Davis,44,16.95
Sarah Hughes,52,15.93
Matthew Scott,34,52.77
Paul Oneal,53,11.47
Patricia Schultz,33,36.32
Samantha Cooper,22,39.54
Kimberly Garcia,49,54.74
